init_id,id,description,has_stock,cost,weight,cr_number,mfg
37323,37323,"Driver Rod OEM
Gen II 1998 & Up Bravo I II II
Mercury
Cross Ref #: 18-9835
Mfg Part #: 37323",False,18.19,1.094,18-9835,37323
38919,38919,"Puller, Swivel Pin
Mercruiser R-MR/Alpha I
Cross Ref #: 18-9840
Mfg Part #: 38919",True,45.1,0.3,18-9840,38919
40104,40104,"Prism Instant Adhesive
Loctite 401 Clear 2 Gram Tube",False,7.38,0.01,,
420171,420171,"Manual, Service
Seadoo 4 tec",True,24.43,0.3,,
42452,42452,Torque Angle Gauge,True,9.22,1.0,,
4442,4442,"Alignment Bar
Alpha I, Gen II, Bravo
Cross Ref #: FI1100322, 18-4442, 37384, 48247, 48347, 57797A1, 57797A2, 805475A1, 90050
Mfg Part #: 57797A3",True,107.11,10.8,"FI1100322, 18-4442, 37384, 48247, 48347, 57797A1, 57797A2, 805475A1, 90050",57797
511-9766,511-9766,"Spark Tester, 8 Cylinders
Cross Ref #: 850439T, 850439T1
Mfg Part #: 850439",True,66.8,1.0,"850439T, 850439T1",850439
511-9773NL,511-9773NL,"Adapter
Peak Reading DVA",True,77.21,0.8,,
5200,5200,"Sealant, 5200 Fast Cure
Cartridge
Mfg Part #: 06520",True,30.64,1.1,,6520
52052,52052,"Gauge Set, Feeler",True,2.99,0.5,,
52952,52952,"Remover Tool
Mercury 3.0L
Piston Pin Lock Ring
Cross Ref #: 91-52952T 1
Mfg Part #: 91-52952T 1, 52952T1",False,101.05,0.6,91-52952T 1,"91-52952T 1, 52952T1"
531-0118M2,531-0118M2,"CDI Meds, Individual Platform
Mercury including G3",True,2357.14,5.0,,
531-0118SD,531-0118SD,"CDI MEDS System
SeaDoo Individual Platform",True,1392.86,5.0,,
531-0119M2,531-0119M2,"CDI MEDS Version 9.0
Mercury G3 Update",True,728.57,2.0,,
531-0200T1,531-0200T1,"CDI Meds Basic Bundle, 9.0
Mercury, Yamaha, BRP, Merc G3",True,3160.71,5.0,,
551-33GF,551-33GF,"Filler, Gearcase
w/ Check Valve",True,175.57,6.1,,
551-5110,551-5110,"Holder, Flywheel
Mfg Part #: 771311",True,99.71,2.6,,771311
551-9765,551-9765,"Wire Puller, Spark Plug
Insuulated
Mfg Part #: 551-9765",True,31.77,0.6,,551-9765
58908,58908,"PWC Full Synthetic Oil, Gallon
Mercury
Mfg Part #: 8M0058908",True,52.97,5.0,,8M0058908
59152,59152,"Mirror, Telescoping 2"" Dia",True,6.04,0.2,,
61052,61052,"Magnet, Telescoping",False,2.94,0.25,,
66,66,"Silicone Sealant, Clear",False,4.37,0.3,,
700-ENDCAP,700-ENDCAP,"End Cap Kit
for 700-HSTEER-Cyl",True,36.92,2.0,,
710300,710300,"Oil Change Kit
Yamaha F250-F350 2008 & Up
20W40 Oil",True,71.4,11.9,,
7120,7120,"Oil, Brad Penn Racing
SAE 30",False,6.05,2.0,,
72001,72001,"Twist Pliers, Safety Wire
Cross Ref #: 9-56005",True,54.26,0.7,9-56005,
74607,74607,"Installer Tool, Piston Pin
Mercury
Cross Ref #: 74607A1, 74607A2, 74607A3
Mfg Part #: 91-74607A 3",True,89.19,0.9,"74607A1, 74607A2, 74607A3",91-74607A 3
74951,74951,"Wrench, Spanner Nut
Mfg Part #: 91-74951",True,91.21,0.4,,91-74951
77175,77175,"Paint, Metallic Blue
OMC
Cross Ref #: 211699, 771230
Mfg Part #: 777175",True,12.74,1.1,"211699, 771230",777175
8M0071838,8M0071838,"Extreme Grease, 8 oz.
Mercury
Mfg Part #: 8M0071838",True,9.5,1.0,,8M0071838
8M0078614,8M0078614,"Spanner Tool, Steering Cyl.
Verado
Mfg Part #: 8M0078614",True,168.35,2.0,,8M0078614
8M0078626,8M0078626,"Engine Oil, Gallon
Mercury 4-Stroke 10W-30
Mfg Part #: 8M0078626",True,36.0,8.333,,8M0078626
8M0085380,8M0085380,"Service Manual
Mercury 75-115 EFI 4 Stroke
Mfg Part #: 8M0085380",True,79.95,3.1,,8M0085380
8M0111677,8M0111677,"Gearlube, Extreme Performance
Mercury Heavy Duty Application
Mfg Part #: 8M0111677",True,20.5,2.0,,8M0111677
802878020,802878020,"Paint V-Silver
Mercury
Mfg Part #: 802878020",True,12.67,1.06,,802878020
80287855,80287855,"Corrosion Guard
Merc
Mfg Part #: 80287855",True,11.77,1.1,,80287855
80957,80957,"Tool Kit, Jet Pump
Sport Jet
Mfg Part #: 91-809957A1",False,695.99,25.4,,91-809957A1
811909,811909,"Pins, Replacement
Goes to 82709 1/8th
All Years
Mfg Part #: 91-811909",True,20.31,0.02,,91-811909
81832,81832,"Gauge Kit, Fuel Pressure
Mercury
Mfg Part #: 881833A03",True,226.29,3.5,,881833
81835,81835,"Hose Short, PSI Gauge 81834
Mercury 115-200 Verado
SportJet 200, 240, 250 EFI DFI",True,34.94,0.5,,
82079,82079,"Fuel Treatment, 32 oz. Sentry
Universal",True,26.42,21.0,,
822562,822562,"Harness
Mercury
Cross Ref #: 84-822560A2
Mfg Part #: 822560A2",True,358.15,0.7,84-822560A2,822560
83155,83155,"Adapter, Dial Indicator
OEM
Mfg Part #: 83155",True,83.83,0.5,,83155
8502,8502,Roloc Adapter,False,4.73,0.05,,
851160,851160,"Fuel Treatment, 8 oz. Sentry",True,9.23,21.0,,
858045,858045,"4-Stroke Oil FCW 10W30
Mercury
1 Quart
Cross Ref #: 8M0078625
Mfg Part #: 858045K01,8M0078625",True,9.73,2.25,8M0078625,"858045K01,8M0078625"
858048,858048,"Engine Oil SAE 25W40 Qt
Mercruiser
Cross Ref #: 8M0078627
Mfg Part #: 858048K01",True,11.55,2.167,8M0078627,858048
858055,858055,"Synthetic Blend SAE 25W40 Qt
Mercruiser
Mercruiser
Cross Ref #: 8M0078629, 8M0078629, 858052K01, 858052K01, 858087KC1, 858087K01, 883722K01, 883724K01
Mfg Part #: 8M0078629",True,14.4,2.125,"8M0078629, 8M0078629, 858052K01, 858052K01, 858087KC1, 858087K01, 883722K01, 883724K01",8M0078629
85980,85980,"Sizing Tool, Seal Ring
Mercury DFI Fuel System
Cross Ref #: 91-851980 2
Mfg Part #: 91-8519802",True,12.87,0.02,91-851980 2,91-8519802
904,904,"Lifting Eye, Engine OE
Mercury/Forc/Sportjet/Honda
Mfg Part #: 904551",True,45.69,1.281,,904551
909570,909570,"Neoprene Dip
All Makes",True,17.33,1.0,,
97352,97352,"Pincer, Hose
Large Fuel Line",True,7.07,0.25,,
9811,9811,"Bushing Tool, Shift Shaft
Mercruiser Bravo I II III
Mfg Part #: 91-17273",True,27.36,0.6,,91-17273
9857,9857,"Holding Tool Driveshaft
Mercruiser MC-I, R,MR/Apha
Mercury Force 40hp & Up
Cross Ref #: 18-9857, 18-9857, 61067A04, 61067A04, 61067A1, 61067A1, 61067A2, 61067A2, 90210, 90210
Mfg Part #: 56775T",True,129.41,3.01,"18-9857, 18-9857, 61067A04, 61067A04, 61067A1, 61067A1, 61067A2, 61067A2, 90210, 90210",56775
99152,99152,"Pincer, Hose
Small Fuel Line",False,8.08,0.2,,
ACC10,ACC10,"Steering System Accura 10ft
Universal
Cross Ref #: 64-889938A10, 702755005568
Mfg Part #: SS13210",True,246.8,13.8,"64-889938A10, 702755005568",SS13210
ATC30,ATC30,"Fuse 30 amp ATC Green 5 Pack
1/4"" Blade",True,2.02,0.02,,
ATC75,ATC75,"Fuse 7.5 amp ATC Tan 5 Pack
1/4"" Blade",True,2.02,0.02,,
BBUSTER,BBUSTER,"Bleeding System, Hydr Steering
Power Purge Teleflex, Uflex
Mfg Part #: POWER PURGE",False,1029.17,30.2,,POWER PURGE
BEZEL90,BEZEL90,"Bezel Kit - 90 Degree
Mechanical Helm Bezel Kit",True,11.37,,,
BHOSE-118,BHOSE-118,"Hose, Heavy Duty Black
Livewell or Bilge
ID1-1/8"" OD 1-11/32""/Clamp=4-6",True,1.59,0.3,,
BHOSE-34,BHOSE-34,"Hose, Heavy Duty Black
Livewell or Bilge
ID 3/4"" OD 31/32""/ Clamp= 4-4",True,0.88,0.22,,
BK1,BK1,"Bolt Kit Jack Plate
TH Jack Plates",True,31.84,1.1,,
BS1604K,BS1604K,"Replacement Key for BS1604
Universal",True,3.83,0.05,,
BS1605K,BS1605K,"Replacement Key for BS1605
Universal",True,3.83,0.05,,
BTEE-1,BTEE-1,"T-Fitting
Seafirst
Mfg Part #: HTO14BBS",True,19.62,,,HTO14BBS
B501BTL,B501BTL,"Top Mount Binnacle w/Lock-Trim
Push or Pull to open
Uflex",True,460.11,9.0,,
CABLECOVER-2,CABLECOVER-2,"Outboard hose and cable cover
ID - 2"" Black
sold in 5 foot pieces",True,14.96,,,
C14X10,C14X10,"Control Cable 10ft
J/E 1979 - Date / C14
Cross Ref #: 173110, 702755009863
Mfg Part #: CC20510",False,19.35,1.6,"173110, 702755009863",CC20510
C14X16,C14X16,"Control Cable 16ft
J/E 1979 - Date / C14
Cross Ref #: 173116, 702755009924
Mfg Part #: CC20516",False,23.7,2.1,"173116, 702755009924",CC20516
C36X07,C36X07,"Control Cable 7ft
Mercury Gen II
Cross Ref #: CC18907, 702755023753
Mfg Part #: 883719A07",False,22.47,2.0,"CC18907, 702755023753",883719
C36X21,C36X21,"Control Cable 21ft
Mercury Gen II
Cross Ref #: CC18921, 702755023890
Mfg Part #: 883719A21",False,30.91,2.75,"CC18921, 702755023890",883719
F6N150,F6N150,"Wrappable Split Braided Tube
Universal 1.5"" 5 Feet
Black",True,12.87,0.5,,
F6N200,F6N200,"Wrappable Split Braided Tube
Universal 2"" 5 Feet
Black",False,14.59,0.5,,
HA5822,HA5822,"High Strength Tiller Bolt
Universal
Fits All Hydra. Steer Systems",True,26.12,0.1,,
HF-1,HF-1,"Hot Foot Mount
Universal",True,165.16,5.3,,
HLO14BOS,HLO14BOS,"Fitting 90° (9/16)
350-Hsteer Only
Mfg Part #: HLO14B0S",True,9.44,,,HLO14B0S
HSO14BS,HSO14BS,"Straight Fitting
350-Hsteer Only",True,9.44,0.001,,
HS5151,HS5151,"Seal Kit, Steering Helm/Ram
Sea Star (Old Style)
Mfg Part #: HS5151",True,45.98,1.0,,HS5151
HS5157,HS5157,"Hydraulic Seal Kit w/Wrench
Seastar, Front Mount
Screw in End Glands (2)
Mfg Part #: HS5157",True,157.68,0.6,,HS5157
K56,K56,"Adapter Kit
Mercury
Adapts C2 Cables to Merc
Cross Ref #: CA27319P, 702755015673, 892790A01
Mfg Part #: 64-892790A01",True,21.21,0.12,"CA27319P, 702755015673, 892790A01",64-892790A01
MC14X07,MC14X07,"Control Cable, Mach 14, 7ft
J/E 1979 - Date
High Efficiency
Cross Ref #: 173107, 702755027782
Mfg Part #: CC63607",False,37.75,2.0,"173107, 702755027782",CC63607
MC14X16,MC14X16,"Control Cable, Mach 14, 16ft
J/E 1979 - Date
High Efficiency
Cross Ref #: 173116, 702755027874
Mfg Part #: CC63616",True,46.64,2.5,"173116, 702755027874",CC63616
M66X17,M66X17,"Steering Cable Rotary 17ft
Universal M66
Cross Ref #: SSC6217, 64-889939A17, 702755017158",True,104.71,8.5,"SSC6217, 64-889939A17, 702755017158",
M90X07,M90X07,"Steering Cable Rotary 7ft
Universal M90
High Efficiency & Flexibility",False,115.71,4.9,,
M90X08,M90X08,"Steering Cable Rotary 8ft
Universal M90
High Efficiency & Flexibility",False,115.71,5.2,,
M90X09,M90X09,"Steering Cable Rotary 9ft
Universal M90
High Efficiency & Flexibility",False,115.71,5.6,,
M90X10,M90X10,"Steering Cable Rotary 10ft
Universal M90
High Efficiency & Flexibility",False,115.71,5.9,,
M90X11,M90X11,"Steering Cable Rotary 11ft
Universal M90
High Efficiency & Flexibility",False,115.71,6.3,,
M90X12,M90X12,"Steering Cable Rotary 12ft
Universal M90
High Efficiency & Flexibility",False,115.71,6.61,,
M90X13,M90X13,"Steering Cable Rotary 13ft
Universal M90
High Efficiency & Flexibility",False,115.71,7.0,,
M90X14,M90X14,"Steering Cable Rotary 14ft
Universal M90
High Efficiency & Flexibility",True,115.71,7.4,,
M90X15,M90X15,"Steering Cable Rotary 15ft
Universal M90
High Efficiency & Flexibility",True,115.71,7.7,,
M90X16,M90X16,"Steering Cable Rotary 16ft
Universal M90
High Efficiency & Flexibility",True,115.71,8.1,,
M90X17,M90X17,"Steering Cable Rotary 17ft
Universal M90
High Efficiency & Flexibility",False,115.71,8.5,,
M90X18,M90X18,"Steering Cable Rotary 18ft
Universal M90
High Efficiency & Flexibility",False,115.71,8.8,,
M90X19,M90X19,"Steering Cable Rotary 19ft
Universal M90
High Efficiency & Flexibility",False,115.71,9.1,,
M90X20,M90X20,"Steering Cable Rotary 20ft
Universal M90
High Efficiency & Flexibility",True,115.71,9.5,,
M90X21,M90X21,"Steering Cable Rotary 21ft
Universal M90
High Efficiency & Flexibility",True,163.74,9.8,,
OBB16,OBB16,"Flexible Hoses Kit 16Ft
Uflex Bulkhead Fitting
Bend Restrictor; 2 Pack
Cross Ref #: HO8116, 702755030270
Mfg Part #: KITOBBNBR-16'",True,155.43,8.0,"HO8116, 702755030270",KITOBBNBR-16'
OBF1,OBF1,"Steering Cyl; Front Mount
Uflex
Mfg Part #: UC128-OBF1",True,622.37,11.7,,UC128-OBF1
OBF2,OBF2,"Steering Cyl; Front Mount
Uflex
Mfg Part #: UC128-OBF2",False,622.37,11.7,,UC128-OBF2
PMC0X18,PMC0X18,"Control Cable, 18ft
Universal 33C Style
High Efficiency",True,22.74,2.4,,
PMC0X20,PMC0X20,"Control Cable, 20ft
Universal 33C Style
High Efficiency",True,24.01,2.6,,
PMC36X11,PMC36X11,"Comtrol Cable, 11FT
Mercury Gen 2- High Efficiency
High Efficiency
Mfg Part #: 883719A11",True,19.07,,,883719
PMC36X12,PMC36X12,"Control Cable, 12FT
Mercury Gen 2, High Efficency
High Efficiency
Mfg Part #: 883719A11",True,19.55,,,883719
PMC36X15,PMC36X15,"Control Cable, 15FT
Mercury Gen 2- High Efficiency
High Efficiency
Mfg Part #: 883719A15",False,20.99,,,883719
PMC5X13,PMC5X13,"Control Cable Merc Style 13FT
High Efficiency
High Efficiency
Mfg Part #: 850716A 13",True,19.55,,,850716A 13
PMC5X25,PMC5X25,"Control Cable Merc Style 25FT
High Efficiency
High Efficiency
Mfg Part #: 850716A 25",True,27.2,,,850716A 25
PMROT10,PMROT10,"Steering System 10ft
Universal",True,99.96,12.8,,
PMROT11,PMROT11,"Steering System 11ft
Universal",True,99.96,12.9,,
PMROT12,PMROT12,"Steering System 12ft
Universal",True,99.96,13.6,,
PMROT14,PMROT14,"Steering System 14ft
Universal",True,99.96,14.0,,
PMROT15,PMROT15,"Steering System 15ft
Universal",True,99.96,15.0,,
PMROT16,PMROT16,"Steering System 16ft
Universal",True,99.96,15.0,,
PMROT17,PMROT17,"Steering System 17ft
Universal",True,99.96,15.1,,
PMROT18,PMROT18,"Steering System 18ft
Universal",True,99.96,15.5,,
PMROT19,PMROT19,"Steering System 19ft
Universal",True,99.96,16.0,,
PMROT2-10,PMROT2-10,"Steering System Dual Cable 10'
Rotary",False,225.44,12.0,,
PMROT2-11,PMROT2-11,"Steering System Dual Cable 11'
Rotary",False,225.44,12.0,,
PMROT2-12,PMROT2-12,"Steering System Dual Cable 12'
Rotary",False,225.44,12.0,,
PMROT2-13,PMROT2-13,"Steering System Dual Cable 13'
Rotary",False,225.44,12.0,,
PMROT2-14,PMROT2-14,"Steering System Dual Cable 14'
Rotary",False,225.44,12.0,,
PMROT2-15,PMROT2-15,"Steering System Dual Cable 15'
Rotary",False,225.44,12.0,,
PMROT2-16,PMROT2-16,"Steering System Dual Cable 16'
Rotary",False,225.43,12.0,,
PMROT2-17,PMROT2-17,"Steering System Dual Cable 17'
Rotary",False,225.44,12.0,,
PMROT2-18,PMROT2-18,"Steering System Dual Cable 18'
Rotary",False,225.44,12.0,,
PMROT2-19,PMROT2-19,"Steering System Dual Cable 19'
Rotary",False,225.44,12.0,,
PMROT2-20,PMROT2-20,"Steering System Dual Cable 20'
Rotary",False,265.22,12.0,,
PMROT20,PMROT20,"Steering System 20ft
Universal",True,99.96,16.0,,
PM66X28,PM66X28,"STEERING CABLE ROTARY 28 FOOT
UNIVERSAL M66",True,100.15,13.08,,
POBB02,POBB02,"Flexible Hoses Kit 2Ft
Bulkhead Fitting
Bend Restrictor; 2 Pack",False,89.99,2.1,,
POBB03,POBB03,"Flexible Hoses Kit 3Ft
Bulkhead Fitting
Bend Restrictor; 2 Pack",False,89.99,2.1,,
POBB04,POBB04,"Flexible Hoses Kit 6Ft
Bulkhead Fitting
Bend Restrictor; 2 Pack",False,89.99,2.1,,
POBB05,POBB05,"Flexible Hoses Kit 5Ft
Bulkhead Fitting
Bend Restrictor; 2 Pack",False,89.99,3.0,,
POBB06,POBB06,"Flexible Hoses Kit 6Ft
Bulkhead Fitting
Bend Restrictor; 2 Pack",False,89.99,2.2,,
POBB08,POBB08,"Flexible Hoses Kit 8Ft
Bulkhead Fitting
Bend Restrictor; 2 Pack",False,89.99,2.6,,
POBB10,POBB10,"Flexible Hoses Kit 10Ft
Bulkhead Fitting
Bend Restrictor; 2 Pack",False,89.99,5.0,,
POBB12,POBB12,"Flexible Hoses Kit 12Ft
Bulkhead Fitting
Bend Restrictor; 2 Pack",False,120.0,3.0,,
POBB14,POBB14,"Flexible Hoses Kit 14Ft
Bulkhead Fitting
Bend Restrictor; 2 Pack",False,99.99,3.3,,
POBB16,POBB16,"Flexible Hoses Kit 16Ft
Bulkhead Fitting
Bend Restrictor; 2 Pack",False,129.99,8.0,,
POBB18,POBB18,"Flexible Hoses Kit 18Ft
Bulkhead Fitting
Bend Restrictor; 2 Pack",True,129.99,3.7,,
POBB20,POBB20,"Flexible Hoses Kit 20Ft
Bulkhead Fitting
Bend Restrictor; 2 Pack",True,129.99,4.0,,
POBB22,POBB22,"Flexible Hoses Kit 22Ft
Bulkhead Fitting
Bend Restrictor; 2 Pack",False,119.99,11.0,,
POBB24,POBB24,"Flexible Hoses Kit 24Ft
Bulkhead Fitting
Bend Restrictor; 2 Pack",False,124.99,12.0,,
POBB26,POBB26,"Flexible Hoses Kit 26Ft
Bulkhead Fitting
Bend Restrictor; 2 Pack",False,134.99,13.0,,
POBB28,POBB28,"Flexible Hoses Kit 28Ft
Bulkhead Fitting
Bend Restrictor; 2 Pack",False,144.99,14.0,,
POBB30,POBB30,"Flexible Hoses Kit 30Ft
Bulkhead Fitting
Bend Restrictor; 2 Pack",False,154.99,15.0,,
POB02,POB02,"Flexible Hoses Kit 2Ft
2 Pack
Mfg Part #: 64-891667A01",False,63.74,4.0,,64-891667A01
POB03,POB03,"Flexible Hoses Kit 3Ft
2 Pack",True,65.99,2.0,,
POB04,POB04,"Flexible Hoses Kit 4Ft
2 Pack",True,68.99,8.0,,
POB05,POB05,"Flexible Hoses Kit 5Ft
2 Pack",True,71.24,2.5,,
POB06,POB06,"Flexible Hoses Kit 6Ft
2 Pack",True,74.25,3.0,,
POB07,POB07,"Flexible Hoses Kit 7Ft
2 Pack",False,74.25,3.0,,
POB08,POB08,"Flexible Hoses Kit 8Ft
2 Pack",True,74.25,2.11,,
POB09,POB09,"Flexible Hoses Kit 9Ft
2 Pack",False,63.11,2.11,,
POB10,POB10,"Flexible Hoses Kit 10Ft
2 Pack",True,74.25,2.4,,
POB11,POB11,"Flexible Hoses Kit 11Ft
2 Pack",False,74.25,2.4,,
POB12,POB12,"Flexible Hoses Kit 12Ft
2 Pack",True,99.99,2.51,,
