"Item #","DESC 1","DESC 2","DESC 3","X-REF #","Weight","Retail","Dealer","On Hand"
"B737-2","Manual, Service               ","J/E 85-300hp 95-02            ",,,3.7,34.9465,29.0729,0
"B750","Manual, Service               ","Chrysler 3-140hp 66-84        ",,,2.1,39.95,33.33,1
"B751-4","Manual, Service               ","Force 4-150hp 84-99           ",,,3.1,34.9465,29.0729,0
"B757-2","Manual, Service               ","Honda 2-130hp 4str 76-^       ",,,2.9,39.95,33.33,0
"B770","Manual, Service               ","Volvo Penta Sterndrives       ","1993 & Below                  ",,2.41,44.95,37.47,4
"B771-2","Manual, Service               ","Volvo Penta Sterndrives       ","1994-2000                     ",,4.2,39.95,33.33,0
"B775","Manual, Service               ","Volvo Penta Sterndrives       ","2001-2004                     ",,3.3,39.95,33.33,0
"B778","Manual, Service               ","Suzuki 2-65hp 92-99           ",,,2.5,39.95,33.33,1
"B779","Manual, Service               ","Suzuki 75-225hp 92-99         ",,,2.41,39.95,33.33,1
"B780","Manual, Service               ","Suzuki 2-140hp 77-84          ",,,1.9,39.95,33.33,2
"B781","Manual, Service               ","Suzuki 2-225hp 85-91          ",,,3.1,39.95,33.33,1
"B782","Manual, Service               ","Suzuki 9-70hp 4str 97-00      ",,,2.2,39.95,33.33,1
"B787","Manual, Service               ","Yamaha Sterndrives            ","1989-1991                     ",,2.3,34.9465,29.0729,0
"B790","Manual, Service               ","Tohatsu 2.5-140hp 92-00       ",,,1.7,39.95,33.33,1
"B791","Manual, Service               ","Yamaha 75-225hp 4str 00-03    ",,,2.5,39.95,33.33,0
"B793","Manual, Service               ","Nissan 2.5-140hp 92-00        ",,,4,39.95,33.33,1
"B805","Manual, Service               ","Indmar V8                     ","83-03                         ","B805                ",2.4,34.9465,29.0729,0
"CL-1","Lube, Cam Assembly            ","3oz                           ",,"92-801779           ",0.3,11.78,9.77,1
"CLEAN-D1","Internal Engine Cleaner       ",,,"ACC-CLEAN-D1-00     ",0.5,51.95,42.6,0
"C3520802","Tube Cover Kit                ","for 350-Hsteer-Cyl            ",,,0,0,0,0
"DI ADAPTER","DI Adapter PWC Diagnostic     ","SeaScan                       ",,,1,349.965,290.7285,0
"DS1-1","Diagnostic Connector Cable    ","Seadoo 4-tec & DI Models      ",,,0.12,139.936,102.01,0
"DS1-3","Diagnostic Connector Cable    ","Yamaha GP1300 & 4 Strokes     ",,,0.12,139.936,102.01,0
"DS111","Scan Sea Software for PWC     ","Latest Verson                 ",,,0,949.905,663.065,0
"DS2-1","Diagnostic Connector Cable    ","Yamaha Outboards              ",,,0.12,139.936,102.01,0
"DS2-2","Diagnostic Connector Cable    ","DFI Outboards                 ",,,0.12,139.936,102.01,0
"DS2-3","Diagnostic Connector Cable    ","M EFI Marine Engines          ",,,0.12,139.936,102.01,0
"DS2-4","Diagnostic Connector Cable    ","Mercury Models                ",,,0.12,139.936,102.01,0
"DS2-5","Diagnostic Connector Cable    ","Suzuki Outboards Round Plug   ",,,0.12,139.936,102.01,0
"DS2-6","Diagnostic Connector Cable    ","Suzuki Outboards Square Plug  ",,,0.12,139.936,102.01,0
"DS200","ScanSmart Diagnostic Module   ","with Key Program & DESS Cable ","requires a PC with Screen     ",,2,1499.85,1193.517,0
"DS201","ScanSmart Key Programmer      ","for ScanSmart Module Only     ",,,0.5,134.9865,96.9095,0
"DS222","Scan Sea Software Marine Engs ","Latest Version                ",,,0,949.905,663.065,0
"DS3-3","Diagnostic Connector Cable    ","Polaris ATV                   ",,,0.12,139.936,102.01,0
"DS3-4","Diagnostic Connector Cable    ","Yamaha Grizzly 700 ATV        ",,,0.12,139.936,102.01,0
"DS333","Scan Sea Software ATV         ","Latest Version                ",,,0.01,949.905,663.065,0
"DS4-1","Diagnostic Connector Cable    ","Ski Doo 4-tec Snowmobile      ",,,0.12,139.936,102.01,0
"DS4-2","Diagnostic Connector Cable    ","Ski Doo DESS Snowmobiles      ",,,0.12,139.936,102.01,0
"DS4-3","Diagnostic Connector Cable    ","Polaris Snowmobile            ",,,0.12,139.936,102.01,0
"DS444","Scan Sea Software Snowmobile  ","Latest Version                ",,,0,949.905,663.065,0
"DS500","iDS Scan Sea Diagnostic System","USB Cable, Serial Cable, Case ","No Key Programming System     ",,2,1598.8401,1224.12,0
"EP-JB3000","Jump Box                      ",,,,0,100,83,1
"FC1030","Oil, 1 Gallon                 ","Yamalube 10W30                ",,"LUB-10W30-FC-04     ",7.8,31.45,25.32,157
"FC1030QT","Oil, Quart                    ","Yamalube 10W30                ",,"LUB-10W30-FC-12     ",2.1,9.1,7.3,92
"FC2040-QT","Oil, 4 Stroke Qt              ","Yamalube                      ",,"LUB-20W40-FC-12     ",1.6,9.75,7.86,104
"FE800-H","Hose Replacement, Fluid Extrac","Universal                     ",,,1,0,0,0
"GM-ISO32","Green Marine Hyd. Fluid       ","Power Pole Fluid              ",,"GM-ISO32-QT-F       ",1.88,25.8974,13.2103,8
"GS1","Geal Seal 50ml Tube           ",,,"327361              ",0.16,23.6845,16.5741,0
"GS1-SM","Gel Seal 6ml Small Tube       ","Single Use                    ","Crankcase Sealant             ",,0.04,7.2114,5.6055,173
"GS1-1P","Gel Seal 50ML / 1.7oz         ","Crankcase Anaerobic Sealant   ",,"324073              ",0.18,15.2485,11.6699,0
"GS1-10P","Gel Seal 250ML / 8.50oz       ","Crankcase Anaerobic Sealant   ",,"324073              ",0.71,59.984,45.8943,0
"GS1-2","Gel Seal 6ml Small Tube       ","Single Use                    ","Crankcase Sealant             ","327361              ",0.04,7.2114,5.6055,0
"HC-32","Bio-Kleen Hull Cleaner 32oz   ","Fiberglass & Metal Cleaner    ",,"HULL CLEANER & FIBER",2,24.2076,17.2907,0
"HK-32","Bio-Kleen Hull Kleen 32oz     ","Spray Off Hull Bottom Cleaner ",,,2,24.2076,17.2907,0
"HPLUBE8","Lube, Gear, Hi Performance    ","Quicksilver 8 oz              ",,"802851Q02           ",0.1,10.49,8.6,34
"HT100","Sensor, Heat 250ºF            ","Temperature Tattle-Tale       ",,,0.01,5.9894,4.0702,0
"H20-32","Bio-Kleen Water Repellant 32oz","Fabric Moisture Protectant    ",,"H20 REPEL           ",2,28.4971,20.351,0
"IS-ADAPTER","IS-Adapter PWC Diagnostic     ","Sea Scan                      ",,,1,284.9715,290.7285,0
"KPS","PWC Key Programming System    ","ScanSea w/Out Diagnostic Syste",,,7,1499.85,994.5975,0
"LUB-05W30-FC-04","Oil, 1 Gallon                 ","Yamaha 5W30 Full Synthetic    ",,"LUB-05W30-FC-04     ",7.6,53.05,42.78,51
"LUBEFF","Fluid Film 12oz               ",,,,0.5,14.9485,10.15,0
"MP57805","Starboard Glue                ","50ML / 1.70oz                 ",,,0.16,46.9853,35.9483,0
"MRNXL-KT-10","Oil Change Kit  F225-F300     ","Yamaha V6  4.2                ",,"LUB-MRNXL-KT-10     ",15.27,88.05,70.91,12
"OCKIT-2","Oil Change Kit                ","Yamaha VF200 - VF250 SHO      ","5W30 Synthetic                ",,16.4,130.95,103.95,0
"OF-10","Flate Rate Manual             ","Outboard                      ",,,1,39.95,33.33,0
"OF10","Flat Rate Manual, Outboard    ","Clymer                        ",,,0.5,39.95,33.33,0
"OIL15G","Oil, Hydraulic                ","Uflex 1Gallon                 ",,,0,71.9928,34.765,0
"OR-32","Bio-Kleen Oxidation Remover 32","Fiberblass Stain Remover      ",,"OXIDATION REMOVER   ",2,22.7877,16.2706,0
"PDS","SeaScan PWC Diagnostic System ","ScanSea w/Out Key Programmer  ",,,15.25,2999.7,2524.7475,0
"PRIMER T","Primer Seal for Crankcase Halv","20oz                          ",,,0.16,11.9888,9.1707,0
"PRO-OIL15","Oil, Hydraulic                ","1 Liter                       ",,,1.9,18.6244,12.1099,118
"PS16","Bio-Kleen Polish&Sealant 16oz ","Shine & Protection Wax        ",,,1,29.947,23.9928,0
"PTF","Fluid, Power Trim & Steering  ",,,,0.1,6.75,5.54,10
"PT1-12","Power Tune Case 12pk          ",,,"92-858080Q01        ",0.8,140.5059,90.3401,0
"QS-32","Bio-Kleen Qwik Shine 32oz     ","Spray On Polish               ",,"QWIK SHINE          ",2,22.7877,16.2706,0
"QUICKLEEN","Quickleen, 12 oz.             ","Mercury All                   ",,"8M0047931           ",0.8,16.03,13.14,119
"Q10-400G","Q10 Penetrating Oil           ","400G                          ",,,0,13.3408,10.2103,0
"Q12-200ML","Q12 Rust Remover              ","200Ml                         ","Penetrating Rust Solvent      ",,0.65,9.3113,7.1297,18
"Q20-150G","Q20 Lubricant 150G            ","Displaces Moisture, Stops Rust","Lubricates, Cleans, & Protects",,0.46,8.4226,6.4497,1
"Q20-300G","Q20 Lubricant 300G            ","Displaces Moisture, Stops Rust","Lubricates, Cleans, & Protects",,0.85,10.0485,7.686,0
"Q45-1KG","Q4-45 Hand Cleaner            ","1KG                           ",,,2.34,31.3069,23.9545,0
"Q45-500G","Q4-45 Hand Cleaner 500G       ","Removes Oil, Grease, Wet Paint","Safe & Non-Abrasive           ",,1.16,9.0386,6.9133,0
"R-4","Bio-Kleen Renew 4 oz          ","Metal Polish & Fiberglass Rest",,"RENEW               ",0.5,22.7777,16.2706,0
"RCS9000","Compressor, Ring              ","3.540 or 90mm                 ",,,0.6,29.947,18.1981,0
"RNGFR-3.2OZ","Ringfree Fuel Additive 3.2Oz  ","Yamaha                        ",,"ACC-RNGFR-PL-04     ",0,2.4898,2.03,0
"R50","Klotz Pre Mix Oil             ",,,,2,19.99,17.5,63
"S-33","Gearcase Filler               ","Universal                     ",,,0,454.99,341.15,0
"SM25","Manual, Service               ","Mercury 2.5L 92-00            ",,"90-824052R3         ",3.4,114,93.48,1
"SM30-02","Manual, Service               ","Mercury 3.0L 02-^             ",,"90-884294R01        ",4.9,114,93.48,1
"SS-32","Bio-Kleen Super Suds 32oz     ","Concentrated Liquid Wash      ",,"SUPER SUDS          ",2,22.7877,16.2706,0
"SUZ-GLUBE-QT","Gear Lube Qt                  ","Suzuki Ecstar                 ","946ML 31.988 Oz               ","99105-50040         ",2.1,10.22,8.99,0
"SUZ-10W40-GAL","Engine Oil 10W-40 Ecstar 1Gal ","Suzuki 4 Stroke               ","Semi Synthetic                ","990C0-10W40-GAL     ",8,36.85,32.42,2
"SUZ-10W40-QT","Engine Oil 10W-40 Ecstar 1QT  ","Suzuki 4 Stroke               ","Semi Synthetic                ","990C0-01E30-QUA     ",2.1,9.64,8.48,396
"TDCDIAL","Dial Indicator, TDC           ",,,,2,79.942,61.1958,0
"TIP400","Mixing Tip for BW560K         ","Fits 400ML                    ",,,0.5,4,3,100
"TIP50","Mixing Tip for BW300K         ","Fits 50ML                     ",,,0.02,2.64,1.98,90
"003-313","Prop Removal Tool             ","Sea Doo & Kawasaki            ",,,0.5,0,0,0
"003-314","Coupler Removal Tool          ","Yam                           ",,,0.3,47.2229,28.8484,0
"003-315","Coupler Tool, 20 Spline       ","Waverunner 760-1200           ",,,0.4,28.6408,20.4515,0
"003-316","Driveshaft Holder             ",,,,0.2,14.4315,10.303,0
"006-530","Leak Detector                 ",,,,0.5,40.7659,24.9006,0
"0118U","CDI Upgrade call Ext 211      ",,,"531-0118U           ",0,0,0,0
"0119M","CDI Meds Add Merc to Yam      ",,,,0,1175.8824,599.8188,0
"0119MP","Meds Mercury Plus Upgrade     ",,,,0,524.8975,300.9295,0
"0119Y","CDI Meds Add Yam to Merc      ",,,"531-0119Y           ",0,899.86,504.9495,0
"012-170","Timing Wheel, Rotary Valve    ","Sea Doo 2 Stroke              ",,,0.05,10.429,7.3957,0
"025472","Primer Zinc Chromate          ","Green                         ",,,1.02,11.8988,7.2835,0
"04445","Spark Tester 90deg Boot       ",,,,0.2,11.9488,7.2631,0
"05023","Battery Cleaner w Acid Indicat","11oz                          ",,,0.92,10.4,7.28,15
"06019","Cleaner & Degreaser 19oz      ",,,"06019               ",1.5,14.35,10.04,81
"06161","Fuel Stabilizer Gas, 8 oz.    ",,,,7.75,9.99,6.6,45
"06164","Fuel Stabilizer Gas 1Gal      ",,,,7.75,53.39,37.37,0
"1BCPN","Bearing Carrier Puller        ","Mercury & Yamaha              ",,,7.3,0,0,0
"101","Lube 101 Tube                 ","Quicksilver                   ",,"92-802865Q 1        ",0.6,23.2877,16.6276,0
"102","Fill/Bleed Hose Kit           ",,,,0.01,14.99,7,0
"1104","Liquid Gasket                 ","3 Bond                        ",,"ACC-YAMAB-0N-04     ",0.01,1.0099,0.5203,0
"14118CJ","Pincer, Standard Jaw          ","Oetiker Clamp Tool            ",,,0.8,21.792,13.3416,46
"14181","Ear Clamp Pincers, Long Handle",,,,1.5,89.4811,59.3392,0
"142144","Gauge, Pitch Impeller         ","144-148mm Diameter            ",,,1.31,109.979,91.7988,0
"155158","Gauge, Pitch Impeller         ","155-159mm Diameter            ",,,1.53,119.978,96.8993,0
"18-9016P","Sealant, Ultra Black Hi-Temp  ","2.8 oz                        ",,,0.22,6.9893,5.3453,0
"18-9031","Adhesive, Bellows             ",,,"92-86166Q 1         ",0.5,11.6888,8.3444,0
"18-9200","Grease, Spline                ","For Engine Coupliers          ",,,1,10.09,5.88,0
"18-9811","Bushing Tool, Shift Shaft     ",,,"91-17273            ",0.5,15.6884,9.3951,0
"18-9817","Shift Shaft Bushing Tool      ","Mercruiser MC I R/MR Alpha I  ","Mercury Outboards             ","91-31107T           ",0.4,28.73,17.24,0
"18-9818","Seal Driver, Propshaft        ",,,"91-31108T           ",0.5,37.9862,22.84,0
"18-9824","Bearing Driver, Needle        ","Gen II 1998 & Up              ","Mercury 3.0L EFI DFI          ","91-33491            ",0.5,24.4576,17.4743,0
"18-9838","Adapter Tool, U-Joint         ","Alpha I                       ",,"91-38756            ",1,21.9878,12.4452,0
"18-9846","18-9818                       ","Mercury                       ","Alpha I                       ","91-44110T           ",0.5,26.9873,16.0564,0
"18-9850","Indicator, Backlash           ","Mercury, Alpha I, Gen II      ",,"91-53459            ",0.3,28.5471,17.4743,0
"18-9864","Transom Assembly Installer    ","Bravo                         ",,"91-43578A1          ",1.1,28.9871,22.177,0
"18-9869","Seal Driver, Drive Shaft Hsg  ","Gen II Drives                 ",,"91-817570T          ",0.5,61.4839,36.9276,0
"18-9874","Preload Tool, Driveshaft      ","MC 1 R                        ",,"91-14311A 2         ",2,173.9826,102.2242,0
"18-9886","Collar 328361                 ",,,"328361              ",0.5,25.9874,15.7605,0
"18-9887","Collar 328363                 ",,,"328363              ",0.5,29.987,17.964,0
"18-9888","Gauge Bar 328364              ",,,"328364              ",0.5,49.985,29.4401,0
"18-9889","Gauge Bar 328365              ",,,"328365              ",0.5,68.4832,41.3855,0
"18-9890","Gauge Bar 328366              ",,,"328366              ",0.5,41.9858,24.4416,0
"18-9891","Gauge Bar 328367              ",,,"328367              ",0.5,31.9868,18.5454,0
"18616","Yamaha Diagnostics            ","Outboard/PWC                  ",,,0,1195.8704,663.0548,0
"200763P","Gasiola Thread Sealant        ","10ml / .34oz                  ",,"200763              ",0.16,21.9878,16.8214,0
"219171","Manual, Repair, PWC           ","Seadoo 1988-2003              ",,,0.5,32.8267,24.4314,2
"24C","Grease, 2-4-C w/ Teflon       ","Water Proof                   ",,"92-802859Q 1        ",0.1,12.01,9.97,29
"242-36ML","242 Blue Loctite 36ML         ",,,"492140              ",0,33.4021,23.3815,17
"242-6ML","242 Blue Loctite 6ML          ",,,"487229              ",0,8.9457,6.7872,6
"242B","242 Blue Loctite .34 oz       ",,,"92-809821           ",0.05,21.5231,16.1499,0
"242BB","242 Blue Loctite 50mL         ","1.69oz Large Bottle           ",,,0.8,44.1168,33.0876,0
"242BBP","Thread Lock Medium Strength   ","50ML / 1.70oz  Blue 242       ",,,0.17,23.9876,18.3516,0
"242BP","Thread Lock Medium Strength   ","10ML / .34oz  Blue 242        ",,,0.06,9.989,7.6405,0
"25052","Adjustment Tool, Carb         ",,,,0.5,14.7985,10.5682,0
"25954","Torx Socket Set, Internal     ","Seadoo 4 Stroke               ",,,0.5,24.9875,20.351,0
"262BP","Thread Lock High Strength     ","10ML / .34oz  Red 262         ",,,0.06,9.989,7.6405,0
"268B","Semi Solid Sticks, Loctite    ","High Strength 9 gram stick    ",,"37685               ",0.04,29.1284,21.8463,0
"271-ML","271 Red Loctite 6ML tube      ","High Strenght for Large Bolts ","Small Diameter                ","92-809819,500422    ",0,9.1083,6.8276,0
"271B","271 Red Loctite .34oz         ","High Strength for Large Bolts ","Small Diameter                ","92-809819, 500422   ",0.05,16.7761,12.5846,0
"271BP","Thread Lock Heavy Duty        ","10ML / .34oz   Red 271        ",,,0.06,9.989,7.6405,0
"27131","271 Red Loctite  50 ml 1.69oz ","High Strength                 ","Small to Med Diameter         ","90-809820           ",0.2,38.3162,23.4521,0
"295131","Harness, Stator Test          ","Seadoo                        ","4 Pin                         ","295000131           ",0.2,95.99,83.67,0
"350-ENDCAP","End Cap Kit                   ","for 350-Hsteer-Cyl            ",,,2,50.4495,32.825,51
"351907","Dark Blue Spectracron Paint   ","Evinrude E-Tec 2004-2008      ",,"351907              ",1,12.09,10.03,0
"36258","Spark Tester                  ",,,,0.5,13.9886,8.7219,0
"36577","Driver, Bearing Cup OEM       ","Mercruiser MC I, R/MR/Apha I  ","Gen II & Outboards Forward Brg","36577T              ",2.5,93,76.26,3
"37323","Driver Rod OEM                ","Gen II 1998 & Up Bravo I II II","Mercury                       ","37323               ",1.094,22.18,18.19,0
"38919","Puller, Swivel Pin            ","Mercruiser R-MR/Alpha I       ",,"38919               ",0.3,55,45.1,2
"40104","Prism Instant Adhesive        ","Loctite 401 Clear 2 Gram Tube ",,,0.01,9.8475,7.3831,0
"420171","Manual, Service               ","Seadoo 4 tec                  ",,,0.3,32.9467,24.4314,2
"420259","Mariner 5 Deluxe PWC System   ","ScanSea PDS & KPS             ","Diagnostic Sys & Key Program  ",,15.25,3999.6,3519.345,0
"42452","Torque Angle Gauge            ",,,,1,11.2989,9.2217,1
"4442P","Alignment Bar                 ","Alpha I, Gen II, Bravo        ",,"57797A3             ",10.8,178.52,107.11,3
"44752","Light, Inspection             ",,,,0.25,29.947,17.2907,0
"45004PS","Pic Stik, For 10MM VOScope    ","Picture and Video Storage     ",,"45004-PS            ",0.6,166.6333,120.5452,0
"450529","ScanSea IDS & KPS             ","Diagnostic Sys & Key Program  ",,,15.25,3999.6,3228.6165,0
"450529-1","ScanSea IDS & KPS             ","Diagnostic Sys & Key Program  ",,,2,1299.87,1111.909,0
"45909","Fluid, Power Trim & Steering  ",,,,0.8,7.5642,5.4091,0
"511-9766","Spark Tester, 8 Cylinders     ",,,"850439              ",1,100.2,66.8,1
"511-9773NL","Adapter                       ","Peak Reading DVA              ",,,0.8,113.5,77.21,2
"5200FC","Sealant, 5200 Fast Cure       ","Cartridge                     ",,"06520               ",1.1,47.39,30.64,6
"52052","Gauge Set, Feeler             ",,,,0.5,3.8996,2.9889,4
"52952","Remover Tool                  ","Mercury 3.0L                  ","Piston Pin Lock Ring          ","91-52952T 1, 52952T1",0.6,123.23,101.05,1
"531-0118","Engine Diagnostic System      ","Mercury Version 3.0           ",,"531-0118M           ",1.8,1763.7746,1249.6225,0
"531-0118M1","CDI Meds Mercury & Merc Plus  ","Combination Mercury Merc Plus ","531-0118M & 531-0118MP        ","531-0118M 1         ",2,3135.6864,1599.5168,0
"531-0118M2","CDI Meds, Individual Platform ","Mercury including G3          ",,,5,3300,2357.14,1
"531-0118SD","CDI MEDS System               ","SeaDoo Individual Platform    ",,,5,1950,1392.86,1
"531-0118T","0118t                         ","Mercury, Yamaha, Merc by Yam  ",,"531-0118T           ",2,3439.456,1949.4111,0
"531-0118Y","CDI Meds Yamaha Only Platform ","For Yamaha Only               ",,"531-0118Y           ",2,2204.7795,1249.6225,0
"531-0119M2","CDI MEDS Version 9.0          ","Mercury G3 Update             ",,,2,1020,728.57,0
"531-0200T1","CDI Meds Basic Bundle, 9.0    ","Mercury, Yamaha, BRP, Merc G3 ",,,5,4425,3160.71,2
"539938","Torx Adapter Supercharger     ","Seadoo 4 tec                  ",,"529 035 938         ",1,24.6475,19.0249,0
"551-33GF","Filler, Gearcase              ","w/ Check Valve                ",,,6.1,284.6,175.57,9
"551-5110","Holder, Flywheel              ",,,"771311              ",2.6,164.74,99.71,2
"551-9765","Wire Puller, Spark Plug       ","Insuulated                    ",,"551-9765            ",0.6,51.9936,31.7704,1
"572RP","Pipe Thread Sealant           ","50ML / 1.70oz    Red 572      ",,,0.16,17.9882,13.7611,0
"58908","PWC Full Synthetic Oil, Gallon","Mercury                       ",,"8M0058908           ",5,63.82,52.97,10
"59152","Mirror, Telescoping  2"" Dia   ",,,,0.2,7.3993,6.039,3
"61052","Magnet, Telescoping           ",,,,0.25,3.5996,2.9379,0
"63055","Cable Cutter, Compact         ",,,,0.71,59.613,42.8335,0
"656","CRC 6-56 11oz Spray Can       ",,,,0.5,7.4992,5.4269,0
"66B","Silicone Sealant, Clear       ",,,,0.3,9.0386,5.1412,0
"66BP","Silicone Sealer - Clear       ","2.8oz High Temp               ",,,0.23,6.9893,5.3453,0
"680BP","Retaining Compound Hi Strength","10ML / .34oz Green 680        ",,,0.06,9.989,7.6405,0
"700-ENDCAP","End Cap Kit                   ","for 700-HSTEER-Cyl            ",,,2,60.5899,43.43,50
"710300","Oil Change Kit                ","Yamaha F250-F350 2008 & Up    ","20W40 Oil                     ",,11.9,92.8907,71.3968,0
"7115","Oil, Brad Penn Racing         ","SAE 50                        ",,,20,7.9992,6.1512,0
"7120Q","Oil, Brad Penn Racing         ","SAE 30                        ",,,2,7.6992,6.0492,0
"7150","Oil, Brad Penn Racing         ","SAE 10W-30                    ",,,2.1,7.4992,6.2328,0
"7158","Oil, Brad Penn Racing         ","SAE 15W-40                    ",,,2.1,7.9992,6.5898,0
"72001","Twist Pliers, Safety Wire     ",,,,0.7,89.24,54.26,2
"74607","Installer Tool, Piston Pin    ","Mercury                       ",,"91-74607A 3         ",0.9,108.77,89.19,2
"74951","Wrench, Spanner Nut           ",,,"91-74951            ",0.4,111.23,91.21,3
"77175","Paint, Metallic Blue          ","OMC 1992-2005                 ",,"777175              ",1.1,14.99,12.74,18
"8M0071838","Extreme Grease, 8 oz.         ","Mercury                       ",,"8M0071838           ",1,11.58,9.5,20
"8M0078614","Spanner Tool, Steering Cyl.   ","Verado                        ",,"8M0078614           ",2,205.31,168.35,17
"8M0078626","Engine Oil, Gallon            ","Mercury 4-Stroke 10W-30       ",,"8M0078626           ",8.333,43.41,36,146
"8M0085380","Service Manual                ","Mercury 75-115 EFI 4 Stroke   ",,"8M0085380           ",3.1,97.5,79.95,3
"8M0111677","Gearlube, Extreme Performance ","Mercury Heavy Duty Application",,"8M0111677           ",2,25.01,20.5,24
"802870A1","Grease Hi Prefomance Extreme  ","U-Joint & Gimbal Bearing      ","14oz                          ","802870A1            ",1.082,14.34,11.76,14
"802878020","Paint V-Silver                ","Mercury                       ",,"802878020           ",1.06,15.26,12.67,21
"80287855","Corrosion  Guard              ","Merc                          ",,"80287855            ",1.1,14.18,11.77,14
"80957","Tool Kit, Jet Pump            ","Sport Jet                     ",,"91-809957A1         ",25.4,848.77,695.99,0
"811909","Pins, Replacement             ","Goes to 82709 1/8th           ","All Years                     ","91-811909           ",0.02,24.77,20.31,3
"81832","Gauge Kit, Fuel Pressure      ","Mercury                       ",,"881833A03           ",3.5,609.21,226.2923,2
"81835","Hose Short, PSI Gauge 81834   ","Mercury 115-200 Verado        ","SportJet 200, 240, 250 EFI DFI",,0.5,66.9058,41.0987,8
"82079","Fuel Treatment, 32 oz. Sentry ","Universal                     ",,,21,31.99,26.42,20
"822562","Harness                       ","Mercury                       ",,"822560A2            ",0.7,436.77,358.15,1
"822608","Cartridge, DDT  V5.0          ","Mercury FNLA                  ",,"91-822608 6         ",0.8,212.6487,162.706,0
"83155","Adapter, Dial Indicator       "," OEM                          ",,"83155               ",0.5,102.23,83.83,1
"8502","Roloc Adapter                 ",,,,0.05,7.0188,5.555,0
"851160","Fuel Treatment, 8 oz. Sentry  ",,,,21,10.99,9.23,28
"858045K01","4-Stroke Oil FCW 10W30        ","Mercury                       ","1 Quart                       ","858045K01,8M0078625 ",2.25,11.87,9.73,478
"858048K01","Engine Oil SAE 25W40 Qt       ","Mercruiser                    ",,"858048K01           ",2.167,13.91,11.55,312
"858052K01","4-Stroke Oil Syn. Blend 25W40 ","Mercury                       ",,"858052K01           ",2.25,9.849,8.0384,0
"858055K01","Synthetic Blend SAE 25W40 Qt  ","Mercury 4-Stroke              ","Mercruiser                    ","8M0078629           ",2.125,17.35,14.4,134
